Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_and/or_sea,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title
ERR1190688,RSZAXPI001967-97,WGS,198,4240104399,PRJEB12123,SAMEA3708614,2980737736,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ncbi,s3,ena,gs","ena,gs.US,s3.us-east-1,ncbi.public",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264063,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:04Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001967-97,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708614,ERS1015763,Illumina,ERS1015763,ERP013562,Stool sample from China
ERR1190700,RSZAXPI001979-113,WGS,197,5011051658,PRJEB12123,SAMEA3708626,3631941617,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","s3,gs,ena,ncbi","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264075,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001979-113,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708626,ERS1015775,Illumina,ERS1015775,ERP013562,Stool sample from China
ERR1190705,RSZAXPI001984-158,WGS,197,5056393928,PRJEB12123,SAMEA3708631,3789180539,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","gs,ena,s3,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264080,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:04Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001984-158,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708631,ERS1015780,Illumina,ERS1015780,ERP013562,Stool sample from China
ERR1190706,RSZAXPI003272-105,WGS,197,5265999568,PRJEB12123,SAMEA3708632,3751872731,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","ena,ncbi,gs,s3","gs.US,s3.us-east-1,ena,ncbi.public",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264081,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:04Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI003272-105,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708632,ERS1015781,Illumina,ERS1015781,ERP013562,Stool sample from China
ERR1190707,RSZAXPI003273-106,WGS,198,5279846422,PRJEB12123,SAMEA3708633,3734932526,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","s3,ena,gs,ncbi","s3.us-east-1,ena,gs.US,ncbi.public",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264082,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI003273-106,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708633,ERS1015782,Illumina,ERS1015782,ERP013562,Stool sample from China
ERR1190532,RSZAXPI001806-13,WGS,196,5381763087,PRJEB12123,SAMEA3708458,3952832367,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263907,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001806-13,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708458,ERS1015607,Illumina,ERS1015607,ERP013562,Stool sample from China
ERR1190533,RSZAXPI001807-14,WGS,198,5110754235,PRJEB12123,SAMEA3708459,3655952325,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263908,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001807-14,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708459,ERS1015608,Illumina,ERS1015608,ERP013562,Stool sample from China
ERR1190534,RSZAXPI001808-15,WGS,198,4198142739,PRJEB12123,SAMEA3708460,2945638954,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263909,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001808-15,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708460,ERS1015609,Illumina,ERS1015609,ERP013562,Stool sample from China
ERR1190535,RSZAXPI001809-16,WGS,197,4918744791,PRJEB12123,SAMEA3708461,3579111089,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263910,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001809-16,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708461,ERS1015610,Illumina,ERS1015610,ERP013562,Stool sample from China
ERR1190536,RSZAXPI001810-17,WGS,196,4749846531,PRJEB12123,SAMEA3708462,3529092286,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263911,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001810-17,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708462,ERS1015611,Illumina,ERS1015611,ERP013562,Stool sample from China
ERR1190537,RSZAXPI001811-18,WGS,196,4581364030,PRJEB12123,SAMEA3708463,3396862657,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263912,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001811-18,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708463,ERS1015612,Illumina,ERS1015612,ERP013562,Stool sample from China
ERR1190538,RSZAXPI001812-19,WGS,198,4348078994,PRJEB12123,SAMEA3708464,3062922837,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263913,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001812-19,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708464,ERS1015613,Illumina,ERS1015613,ERP013562,Stool sample from China
ERR1190539,RSZAXPI001813-20,WGS,198,4209639738,PRJEB12123,SAMEA3708465,2899887772,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263914,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001813-20,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708465,ERS1015614,Illumina,ERS1015614,ERP013562,Stool sample from China
ERR1190540,RSZAXPI001814-21,WGS,198,4462016707,PRJEB12123,SAMEA3708466,3125802406,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263915,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001814-21,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708466,ERS1015615,Illumina,ERS1015615,ERP013562,Stool sample from China
ERR1190541,RSZAXPI001815-22,WGS,196,4790930706,PRJEB12123,SAMEA3708467,3489375057,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263916,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001815-22,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708467,ERS1015616,Illumina,ERS1015616,ERP013562,Stool sample from China
ERR1190542,RSZAXPI001816-23,WGS,198,4853096326,PRJEB12123,SAMEA3708468,3404307854,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263917,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001816-23,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708468,ERS1015617,Illumina,ERS1015617,ERP013562,Stool sample from China
ERR1190543,RSZAXPI001817-24,WGS,197,4084464605,PRJEB12123,SAMEA3708469,2888688377,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263918,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001817-24,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708469,ERS1015618,Illumina,ERS1015618,ERP013562,Stool sample from China
ERR1190545,RSZAXPI001819-26,WGS,195,3753740621,PRJEB12123,SAMEA3708471,2767841602,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263920,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001819-26,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708471,ERS1015620,Illumina,ERS1015620,ERP013562,Stool sample from China
ERR1190552,RSZAXPI001828-41,WGS,196,5303235741,PRJEB12123,SAMEA3708478,4020289146,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263927,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001828-41,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708478,ERS1015627,Illumina,ERS1015627,ERP013562,Stool sample from China
ERR1190553,RSZAXPI001829-43,WGS,196,4474598162,PRJEB12123,SAMEA3708479,3389760251,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263928,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001829-43,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708479,ERS1015628,Illumina,ERS1015628,ERP013562,Stool sample from China
ERR1190554,RSZAXPI001830-45,WGS,196,5091512249,PRJEB12123,SAMEA3708480,3841148616,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263929,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001830-45,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708480,ERS1015629,Illumina,ERS1015629,ERP013562,Stool sample from China
ERR1190555,RSZAXPI001831-46,WGS,196,5073554497,PRJEB12123,SAMEA3708481,3845622680,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263930,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001831-46,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708481,ERS1015630,Illumina,ERS1015630,ERP013562,Stool sample from China
ERR1190556,RSZAXPI001832-47,WGS,197,4715075589,PRJEB12123,SAMEA3708482,3503225316,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263931,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001832-47,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708482,ERS1015631,Illumina,ERS1015631,ERP013562,Stool sample from China
ERR1190557,RSZAXPI001833-50,WGS,197,5045255742,PRJEB12123,SAMEA3708483,3747573713,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263932,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001833-50,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708483,ERS1015632,Illumina,ERS1015632,ERP013562,Stool sample from China
ERR1190558,RSZAXPI001834-56,WGS,197,5643528362,PRJEB12123,SAMEA3708484,4141179025,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263933,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001834-56,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708484,ERS1015633,Illumina,ERS1015633,ERP013562,Stool sample from China
ERR1190559,RSZAXPI001835-57,WGS,197,5210894940,PRJEB12123,SAMEA3708485,3866472460,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263934,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:01Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001835-57,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708485,ERS1015634,Illumina,ERS1015634,ERP013562,Stool sample from China
ERR1190582,RSZAXPI001858-109,WGS,198,5385139436,PRJEB12123,SAMEA3708508,3881274288,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263957,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:03Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001858-109,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708508,ERS1015657,Illumina,ERS1015657,ERP013562,Stool sample from China
